name,address,amenities/0,amenities/1,amenities/2,amenities/3,amenities/4,amenities/5,amenities/6,amenities/7,amenities/8,amenities/9,amenities/10,amenities/11,amenities/12,amenities/13,amenities/14,amenities/15,amenities/16,amenities/17,amenities/18,amenities/19,amenities/20,amenities/21,amenities/22,amenities/23,amenities/24,amenities/25,amenities/26,amenities/27,amenities/28,amenities/29,amenities/30,amenities/31,amenities/32,amenities/33,amenities/34,amenities/35,amenities/36,amenities/37,amenities/38,amenities/39,amenities/40,amenities/41,amenities/42,amenities/43,amenities/44,amenities/45,amenities/46,amenities/47,amenities/48,amenities/49,amenities/50,amenities/51,amenities/52,amenities/53,amenities/54,amenities/55,amenities/56,amenities/57,amenities/58,amenities/59,amenities/60,amenities/61,amenities/62,amenities/63,amenities/64,amenities/65,amenities/66,amenities/67,amenities/68,amenities/69,amenities/70,amenities/71,amenities/72,amenities/73,amenities/74,amenities/75,amenities/76,amenities/77,amenities/78,amenities/79,amenities/80,amenities/81,amenities/82,amenities/83,amenities/84,amenities/85,amenities/86,amenities/87,amenities/88,amenities/89,amenities/90,amenities/91,amenities/92,amenities/93,amenities/94,amenities/95,amenities/96,amenities/97,amenities/98,amenities/99,amenities/100,amenities/101,amenities/102,amenities/103,amenities/104,amenities/105,amenities/106,amenities/107,amenities/108,amenities/109,amenities/110,amenities/111,amenities/112,amenities/113,amenities/114,amenities/115,amenities/116,amenities/117,amenities/118,amenities/119,amenities/120,amenities/121,amenities/122,amenities/123,amenities/124,amenities/125,amenities/126,amenities/127,amenities/128,amenities/129,amenities/130,amenities/131,priceRange,numberOfRooms,numberOfReviews,rating,website,phone,email
Savoy Hotel Mactan Newtown,"Blvd Lapu-Lapu City The Mactan Newtown, Newtown, Lapu Lapu 6015 Philippines",Pool,Internet,Room service,Free Internet,Airport transportation,Wifi,Free Wifi,Meeting rooms,Non-smoking rooms,Business center,Parking,Baggage Storage,24-Hour Check-in,Coffee Shop,Doorperson,Filipino,Suites,Free parking,Restaurant,Bar/Lounge,Breakfast included,Dry Cleaning,Fitness center,Laundry Service,Air conditioning,Minibar,Conference Facilities,Non-smoking hotel,Safe,Flatscreen TV,Poolside Bar,Kids pool,Housekeeping,Bath / Shower,Bathrobes,Bidet,Bottled Water,Cable / Satellite TV,Car Hire,Clothes Dryer,Clothes Rack,Desk,Complimentary Toiletries,24-Hour Front Desk,Hair Dryer,Infirmary,Interconnected room(s) available,Ironing Service,Outdoor Dining Area,Pool View,Pool with View,Private Bathrooms,24-Hour Security,Secured Parking,Separate Living Room,Snack Bar,Sofa,Telephone,Wine / Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱2,379 - ₱3,115",547,172,4,http://www.savoyhotelmactan.com.ph,1.16332E+12,info@savoymactan.com
Summit Galleria Cebu,"B. Benedicto Street General Maxilom Avenue Ext., Cebu City 6000 Philippines",Pool,Internet,Suites,Room service,Free Internet,Free parking,Wheelchair access,Restaurant,Bar/Lounge,Free Wifi,Breakfast included,Dry Cleaning,Meeting rooms,Non-smoking rooms,Fitness center,Concierge,Air conditioning,Family Rooms,Non-smoking hotel,Safe,Flatscreen TV,Breakfast Buffet,Indoor pool,Baggage Storage,Bath / Shower,24-Hour Check-in,Coffee / Tea Maker,Doorperson,Filipino,Complimentary Toiletries,Hair Dryer,24-Hour Security,Airport transportation,Business center,Laundry Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱2,549 - ₱3,228",220,339,4.5,https://www.summithotels.ph/hotels/summit-galleria-cebu,9189373101,reservations@summithotels.ph
Bluewater Sumilon Island Resort,6025 Philippines,Pool,Room service,Restaurant,Bar/Lounge,Internet,Beachfront,Free Internet,Wifi,Free Wifi,Breakfast included,Non-smoking rooms,Laundry Service,Concierge,Air conditioning,Family Rooms,Safe,Flatscreen TV,Breakfast Buffet,Poolside Bar,Private Balcony,Infinity Pool,Outdoor pool,Baggage Storage,Couples Massage,English,Filipino,Pool / Beach Towels,Pool with View,24-Hour Security,Sun Loungers / Beach Chairs,Sun Umbrellas,Beach Access,Dry Cleaning,Non-smoking hotel,Butler Service,Kids pool,Private Beaches,Private Pools,Breakfast Available,Facilities for Disabled Guests,Housekeeping,Kids Club,Bath / Shower,Bathrobes,BBQ Facilities,Bicycle Rental,Bidet,Bicycles Available,Blackout Curtains,Board Games / Puzzles,Bottled Water,Car Hire,Children's Playground,Clothes Rack,Complimentary Tea,Desk,Dining Area,Diving,Evening Entertainment,Fishing,Foot Bath,Foot Massage,Complimentary Instant Cofffee,Complimentary Toiletries,Complimentary Welcome Drink,24-Hour Front Desk,Full Body Massage,Gift Shop,Hair Dryer,Happy Hour,Head Massage,Highchairs Available,Hiking,Iron,Ironing Service,Kids' Meals,Kid-Friendly Buffet,Kids' Outdoor Play Equipment,Massage,Neck Massage,Outdoor Dining Area,Outdoor Furniture,Patio,Picnic Area,Private Bathrooms,Seating Area,Secured Parking,Shops,Snack Bar,Snorkeling,Sofa,Sun Deck,Sun Terrace,Telephone,Umbrella,Wardrobe / Closet,Wine / Champagne,Yoga Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱8,043 - ₱15,009",27,619,4,http://www.bluewatersumilon.com.ph,+63 32 353 5578,sumilon@bluewater.com.ph
Waterfront Cebu City Hotel & Casino,"Salinas Drive Lahug, Cebu City 6000 Philippines",Pool,Business center,Fitness center,Room service,Restaurant,Internet,Free Internet,Wifi,Free Wifi,Suites,Free parking,Wheelchair access,Bar/Lounge,Spa,Airport transportation,Casino,Breakfast included,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Non-smoking hotel,Safe,Flatscreen TV,Breakfast Buffet,Poolside Bar,Outdoor pool,Parking,Facilities for Disabled Guests,ATM On Site,Baggage Storage,24-Hour Check-in,Coffee Shop,Currency Exchange,Doorperson,Filipino,Fitness / Spa Locker Rooms,24-Hour Front Desk,Ironing Service,Massage,24-Hour Security,Valet Parking,VIP Room Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱3,285 - ₱4,021",561,3464,4,https://www.waterfronthotels.com.ph/waterfront-cebu-city-hotel-casino/,+63 32 232 6888,wcch@waterfronthotels.net
Solea Mactan Resort,"Wahing St Barangay Alegria, 6017 Philippines",Pool,Internet,Kids Activities,Beachfront,Suites,Room service,Free Internet,Free parking,Wheelchair access,Restaurant,Bar/Lounge,Spa,Wifi,Free Wifi,Breakfast included,Dry Cleaning,Meeting rooms,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Refrigerator in room,Conference Facilities,Safe,Rooftop Bar,Flatscreen TV,Water Park,Breakfast Buffet,Private Balcony,Infinity Pool,Outdoor pool,Kids Club,Filipino,24-Hour Front Desk,Massage,24-Hour Security,Beach Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱4,021 - ₱5,494",239,503,4,http://www.soleamactan.com,+63 918 979 0236,info@soleahotels.com
The Reef Island Resort,"Lot2 Blk5, Vistamar Subd, Dapdap, Lapu Lapu 6015 Philippines",Pool,Internet,Room service,Free Internet,Free parking,Wheelchair access,Restaurant,Bar/Lounge,Spa,Wifi,Free Wifi,Breakfast included,Fitness center,Suites,Airport transportation,Meeting rooms,Non-smoking rooms,Banquet Room,Air conditioning,Family Rooms,Refrigerator in room,Minibar,Babysitting,Non-smoking hotel,Safe,Flatscreen TV,Breakfast Buffet,Kids pool,Adult pool,Private Beaches,Housekeeping,Bath / Shower,Bathrobes,Bottled Water,24-Hour Check-in,Children's Playground,Clothes Rack,Coffee Shop,Coffee / Tea Maker,Desk,Diving,English,Facial Treatments,Filipino,Complimentary Toiletries,Complimentary Welcome Drink,24-Hour Front Desk,Full Body Massage,Gift Shop,Hair Dryer,Interconnected room(s) available,Iron,Ironing Service,Massage,Pool / Beach Towels,Private Bathrooms,Seating Area,24-Hour Security,Separate Dining Area,Separate Living Room,Shoeshine,Shops,Snorkeling,Sofa,Sofa Bed,Telephone,Wake Up Service / Alarm Clock,Wardrobe / Closet,Wine / Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱6,627 - ₱9,005",187,74,4.5,http://www.thereef.ph/,+63 32 253 7333,info@thereef.ph
Plantation Bay Resort And Spa,"Marigondon, Lapu Lapu 6015 Philippines",Pool,Internet,Beachfront,Free Internet,Free parking,Suites,Kids Activities,Shuttle Bus Service,Room service,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Wifi,Public Wifi,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Tennis Court,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Safe,Swimup Bar,Flatscreen TV,Water Park,Breakfast Buffet,Poolside Bar,Private Balcony,Butler Service,Outdoor pool,Breakfast Available,Parking,Free airport transportation,Free Shuttle or Taxi Services,Facilities for Disabled Guests,Housekeeping,Kids Club,Sauna,Canoeing,Couples Massage,Facial Treatments,Filipino,Game Room,Gift Shop,Head Massage,Indoor Play Area for Children,Massage,24-Hour Security,Shops,Kids pool,Private Pools,Archery,Badminton,Baggage Storage,Bath / Shower,Bicycle Rental,Bicycles Available,Billiards,Board Games / Puzzles,Body Wrap,"Books, DVDs, Music for Children",Bottled Water,Breakfast in the Room,Cable / Satellite TV,Car Hire,24-Hour Check-in,Express Check-in / Check-out,Children's Television Networks,Children's Playground,Coffee Shop,Complimentary Tea,Convenience Store,Currency Exchange,Darts,Diving,English,Entertainment Staff,Evening Entertainment,Fishing,Foot Massage,Complimentary Toiletries,Complimentary Welcome Drink,24-Hour Front Desk,Full Body Massage,Hair Dryer,Happy Hour,Highchairs Available,Hot Spring Bath,Ironing Service,Kids' Meals,Manicure,Massage Chair,Neck Massage,Newspaper,Outdoor Dining Area,Pedicure,Pool / Beach Towels,Pool View,Private Bathrooms,Private Check-in / Check-out,Saltwater Pool,Shoeshine,Snack Bar,Snorkeling,Strollers,Sun Loungers / Beach Chairs,Sun Umbrellas,Swimming Pool Toys,Taxi Service,Telephone,Umbrella,Video Game Console,Walking Tours,Waterslide,Water Sport Equipment Rentals,Waxing Services,Wine / Champagne,Photo Copier / Fax In Business Center,Beach Access,"₱10,761 - ₱13,310",255,2253,4,https://plantationbay.com/,+63 32 236 9040,inquiry@plantationbay.com
Belmont Hotel Mactan,"The Mactan Newtown, Newtown Blvd, Lapu Lapu 6016 Philippines",Pool,Beachfront,Suites,Room service,Wheelchair access,Restaurant,Airport transportation,Free Wifi,Meeting rooms,Non-smoking rooms,Fitness center,Banquet Room,Air conditioning,Family Rooms,Accessible rooms,Refrigerator in room,Conference Facilities,Safe,Flatscreen TV,Breakfast Buffet,Adult pool,Parking,Facilities for Disabled Guests,Housekeeping,Sauna,ATM On Site,Baggage Storage,Bath / Shower,Bathrobes,Bidet,Blackout Curtains,Bottled Water,Cable / Satellite TV,Car Hire,24-Hour Check-in,Clothes Rack,Coffee / Tea Maker,Desk,Electric Kettle,English,Filipino,First Aid Kit,Complimentary Toiletries,Hair Dryer,Iron,Pool / Beach Towels,Pool View,Private Bathrooms,Seating Area,24-Hour Security,Secured Parking,Separate Living Room,Shared Lounge / TV Area,Snack Bar,Sofa,Soundproof Rooms,Taxi Service,Telephone,Umbrella,Wake Up Service / Alarm Clock,Walk-in Shower,Beach Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱2,549 - ₱4,248",550,61,5,http://www.belmontmactan.com.ph,032-5204100,info@belmontmactan.com.ph
Radisson Blu Cebu,"Serging Osmena Boulevard Corner Juan Luna Avenue, Cebu City 6000 Philippines",Pool,Internet,Room service,Free Internet,Free parking,Wifi,Business center,Fitness center,Wheelchair access,Bar/Lounge,Spa,Suites,Restaurant,Airport transportation,Meeting rooms,Laundry Service,Concierge,Public Wifi,Breakfast included,Non-smoking rooms,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Safe,Swimup Bar,Flatscreen TV,Breakfast Buffet,Poolside Bar,Outdoor pool,Parking,Facilities for Disabled Guests,Housekeeping,Kids Stay Free,Baggage Storage,Car Hire,24-Hour Check-in,Couples Massage,Doorperson,Facial Treatments,Filipino,Fitness / Spa Locker Rooms,Foot Massage,Complimentary Instant Cofffee,Ironing Service,Kid-Friendly Buffet,Massage,Pool / Beach Towels,24-Hour Security,Kids pool,Breakfast Available,ATM On Site,Bath / Shower,Bathrobes,Bidet,Blackout Curtains,Body Wrap,Bottled Water,Breakfast in the Room,Cable / Satellite TV,Currency Exchange,Desk,Electric Kettle,English,Evening Entertainment,Complimentary Toiletries,24-Hour Front Desk,Full Body Massage,Hair Dryer,Hand Massage,Happy Hour,Highchairs Available,Interconnected room(s) available,Iron,Manicure,Neck Massage,Pedicure,Private Bathrooms,Sofa,Sun Loungers / Beach Chairs,Telephone,Umbrella,Wake Up Service / Alarm Clock,Walk-in Shower,Wardrobe / Closet,Wine / Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱7,363 - ₱8,609",400,4802,4.5,https://www.radissonhotels.com/en-us/hotels/park-inn-polokwane,1.16332E+12,reservations.cebu@radisson.com
Jpark Island Resort & Waterpark,"M. L. Quezon National Highway Brgy. Maribago, Lapu Lapu 6015 Philippines",Pool,Free parking,Suites,Free Internet,Free Wifi,Internet,Kids Activities,Beachfront,Shuttle Bus Service,Room service,Wheelchair access,Restaurant,Bar/Lounge,Spa,Airport transportation,Casino,Wifi,Public Wifi,Breakfast included,Dry Cleaning,Meeting rooms,Hot Tub,Non-smoking rooms,Business center,Fitness center,Laundry Service,Concierge,Banquet Room,Air conditioning,Family Rooms,Multilingual Staff,Accessible rooms,Refrigerator in room,Minibar,Conference Facilities,Babysitting,Non-smoking hotel,Safe,Swimup Bar,Flatscreen TV,Lazy River,Water Park,Breakfast Buffet,Poolside Bar,Private Balcony,Outdoor pool,Breakfast Available,Parking,Free Shuttle or Taxi Services,Facilities for Disabled Guests,Housekeeping,Kids Club,Kids Stay Free,Additional Bathroom,Baggage Storage,Car Hire,Coffee Shop,Diving,Filipino,Fitness / Spa Locker Rooms,24-Hour Front Desk,Game Room,Gift Shop,Indoor Play Area for Children,Kids' Outdoor Play Equipment,Massage,Mini Golf,24-Hour Security,Table Tennis,Beach Access,Bottled Water,Clothes Rack,Desk,English,Japanese,Korean,Laptop Safe,Private Bathrooms,Telephone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"₱10,195 - ₱12,800",556,1711,4,https://www.facebook.com/jparkislandresort/,+63 32 494 5000,rsvn@jparkislandresort.com
